temperature_c,pressure_pa,latent_heat_j_kg,rho_l_kg_m3,rho_g_kg_m3,mu_l_pa_s,mu_g_pa_s,cp_l_j_kgk,cp_g_j_kgk,k_l_w_mk,k_g_w_mk,surface_tension_n_m
-40,71633.2733606,1389193.67844,689.783286642,0.643598757902,0.00028017515846,7.85880811981e-06,4440.0107156,2232.79903413,0.687071707012,0.0206412121171,0.03566812377
-20,190026.100121,1328804.00406,664.966033812,1.60350295664,0.00021406625506,8.44947373088e-06,4517.33845648,2430.45944904,0.621526107039,0.0217675584698,0.0310012857728
0,429247.798721,1261773.19824,638.638204867,3.4560108814,0.000170164332085,9.05587336631e-06,4609.71570368,2696.15243072,0.559352500541,0.0233650234912,0.0262948686011
20,857039.770696,1186299.39415,610.387328774,6.69795091335,0.000138488535846,9.67629084682e-06,4738.93430256,3044.53768949,0.500238456855,0.0255177676742,0.0216355056826
40,1554533.22791,1099653.73744,579.610087971,12.0238079778,0.000114146114708,1.03256798885e-05,4933.34817162,3517.42515359,0.443841110642,0.0283767192167,0.0170924463832
