temperature_c,pressure_pa,latent_heat_j_kg,rho_l_kg_m3,rho_g_kg_m3,mu_l_pa_s,mu_g_pa_s,cp_l_j_kgk,cp_g_j_kgk,k_l_w_mk,k_g_w_mk,surface_tension_n_m
-20,1969628.0019,282443.071321,1031.65930158,51.699536108,0.000139688791776,1.29319631189e-05,2165.31735677,1289.33281299,0.132811003272,0.0155005246862,0.0083732404919
-10,2648676.6707,258614.85308,982.928343551,71.1847862984,0.000118802612878,1.36589152538e-05,2307.23105184,1509.05105544,0.120989496205,0.0175068372243,0.00636757682245
0,3485140.75766,230893.340656,927.431951892,97.6473368359,0.000100402432466,1.45610716706e-05,2542.31024015,1864.75543283,0.109148848935,0.0204006204089,0.00448349278679
10,4502182.91411,197154.350074,861.120004138,135.156493244,8.35421617472e-05,1.57985941096e-05,2997.60574965,2557.79523185,0.0971832963911,0.0251871672327,0.00274996838038
20,5729052.58148,151996.847629,773.386541899,194.201601224,6.6773986544e-05,1.78415893487e-05,4263.65614127,4559.88254543,0.0852644500662,0.0353269054807,0.00122082009302
